Price,Bedrooms,Bathrooms,Square Footage,Lot Size (Acres),Features,Listing Description
304700,4,2,1792,0.31,"['newer roof', 'energy-efficient windows', 'dual-pane windows', 'updated hardware', 'functional storage', 'solid-surface counters']","Envision the possibilities in this refined 4-bedroom home nestled in a up-and-coming area. Featuring 2 tasteful bathrooms across 1792 square feet of masterfully utilized space, this property stands apart. The 0.3-acre grounds offer both privacy and potential. Notable aspects include dual-pane windows, solid-surface counters, functional storage, updated hardware, newer roof. Available now at $304,700.0."
167700,3,2,1114,0.12,"['ready-made window treatments', 'standard kitchen cabinets', 'standard plumbing fixtures', 'basic lighting', 'basic trim work']","Discover your personal oasis in this sophisticated 3-bedroom haven. Strategically located in a exclusive enclave, the 1114 square foot home is a breath of fresh air. 2 meticulously crafted bathrooms and a 0.1-acre lot offer the ultimate in privacy and comfort. Distinctive touches like standard plumbing fixtures, basic lighting, standard kitchen cabinets, ready-made window treatments, basic trim work set this property apart. Remarkably priced at $167,700.0."
238500,4,2.5,1745,0.12,"['walk-in pantry', 'fresh exterior paint', 'brick or stone accents', 'double vanity in master', 'decorative light fixtures', 'garden area', 'crown molding in main rooms']","Discover a classic 4-bedroom home that truly stands out in this family-friendly area. Spanning 1745 square feet on a 0.1-acre lot, this property offers 2.5 bathrooms and unparalleled charm. Standout features include brick or stone accents, decorative light fixtures, walk-in pantry, garden area. Priced at $238,500.0, this home represents an extraordinary opportunity for discerning buyers."
310000,3,1.5,1930,0.2,"['walk-in pantry', 'double vanity in master', 'upgraded trim package', 'updated kitchen', 'decorative light fixtures', 'stainless steel appliances', 'open concept layout']","This luxurious 3-bedroom gem awaits your personal touch. Nestled in a premium peaceful neighborhood, the 1930 square foot residence includes 1.5 well-appointed bathrooms. The 0.2-acre setting creates a welcoming atmosphere with room to grow. Key attributes include decorative light fixtures, double vanity in master, open concept layout. An outstanding value at $310,000.0."
187100,2,1.5,903,0.19,"['standard windows', 'builder-grade faucets', 'basic tile floors']","Welcome to inspired living in this luxurious 2-bedroom masterpiece. Set in a highly sought riverside setting, the 903 square foot residence features 1.5 thoughtfully designed bathrooms. The 0.2-acre property creates a perfect balance of space and intimacy. Key elements include basic tile floors, builder-grade faucets, standard windows. Priced to impress at $187,100.0."
344600,3,2,1836,0.29,"['central vacuum', 'kitchen island', 'garden area', 'upgraded trim package', 'brick or stone accents', 'updated hardware']","This serene 3-bedroom home represents the perfect blend of style and practicality. Located in a coveted scenic enclave, the 1836 square foot residence features 2 well-appointed bathrooms. The 0.3-acre grounds provide ample space for your lifestyle. Special attributes include updated hardware, kitchen island, garden area. Priced to move at $344,600.0."
233200,4,2.5,1522,0.12,"['solid-surface counters', 'tankless water heater', 'hardwood floors', 'updated bathrooms', 'patio or deck', 'granite countertops', 'newer roof']","This modern 4-bedroom gem awaits your personal touch. Nestled in a premium vibrant downtown, the 1522 square foot residence includes 2.5 well-appointed bathrooms. The 0.1-acre setting creates a welcoming atmosphere with room to grow. Key attributes include solid-surface counters, hardwood floors, tankless water heater, patio or deck. An outstanding value at $233,200.0."
263900,3,2,1195,0.2,"['pendant lighting', 'custom paint colors', 'dual-pane windows', 'ceiling fans', 'solid-surface counters', 'updated kitchen', 'custom window treatments', 'wainscoting']","Prepare to be amazed by this picturesque 3-bedroom masterpiece. Anchored in a golf course adjacent, the 1195 square foot home is a testament to sophisticated living. 2 luxurious bathrooms complement the expansive 0.2-acre property. Experience the extraordinary with features like updated kitchen, wainscoting, custom paint colors. Sensationally priced at $263,900.0."
233100,3,1.5,1348,0.14,"['custom paint colors', 'kitchen island', 'recessed lighting', 'attic storage solutions', 'ceiling fans', 'modern lighting']","Your dream lifestyle starts here! This splendid 3-bedroom home is nothing short of spectacular. Perfectly positioned in a peaceful neighborhood, the 1348 square foot residence is a true standout. 1.5 designer bathrooms and a 0.1-acre lot create an unparalleled living experience. Be captivated by remarkable features including attic storage solutions, ceiling fans, modern lighting, kitchen island. An exceptional opportunity at $233,100.0."
622100,4,2.5,1700,0.35,"['walk-in closets', 'custom front door', 'statement lighting fixtures', 'custom-built shelving', 'smart thermostats', 'indoor-outdoor living features', 'hidden storage solutions', 'hardwood floors', 'outdoor living spaces', 'three-car garage', 'outdoor kitchen']","Don't miss this exceptional 4-bedroom sanctuary in a premier waterfront community. With 1700 square feet of living space and 2.5 well-conceived bathrooms, nothing has been overlooked. The 0.3-acre lot offers both privacy and versatility. Appreciate special touches like outdoor living spaces, three-car garage, hidden storage solutions. Now available for $622,100.0."
295000,3,1.5,1479,0.22,"['irrigation system', 'garden area', 'brick or stone accents', 'central vacuum', 'linen closet', 'hardwood floors']","Live the dream in this beautiful 3-bedroom residence that defines modern living. Set in a desirable sought-after community, the home offers 1479 square feet of versatile living space with 1.5 well-placed bathrooms. The 0.2-acre property creates the perfect foundation for your lifestyle. You'll appreciate thoughtful elements like brick or stone accents, hardwood floors, garden area, linen closet, central vacuum. Available now at $295,000.0."
194300,2,1.5,964,0.13,"['simple paint job', 'basic water heater', 'carpet in bedrooms']","Live life on your terms in this sophisticated 2-bedroom gem of a home. Located in a mountain view locale, the thoughtful 964 square foot layout includes 1.5 well-executed bathrooms. The 0.1-acre lot creates an atmosphere of space and possibility. Notable features include basic water heater, carpet in bedrooms, simple paint job. An exceptional value at $194,300.0."
412100,4,2.5,1655,0.71,"['home office setup', 'home automation', 'custom shower systems', 'high-end finishes', 'statement lighting fixtures', 'wine cellar', 'electric car charging station', 'swimming pool', 'walk-in closets']","Don't miss this elegant 4-bedroom sanctuary in a premier scenic enclave. With 1655 square feet of living space and 2.5 well-conceived bathrooms, nothing has been overlooked. The 0.7-acre lot offers both privacy and versatility. Appreciate special touches like electric car charging station, custom shower systems, high-end finishes, home automation, walk-in closets. Now available for $412,100.0."
182000,3,2,1057,0.24,"['standard ceiling height', 'simple appliances', 'basic lighting', 'standard door hardware']","Perfection personified describes this delightful 3-bedroom sanctuary. Located in a scenic enclave, this 1057 square foot residence delivers on every level. With 2 well-designed bathrooms and a generous 0.2-acre lot, comfort meets sophistication. Indulge in exceptional amenities including simple appliances, basic lighting, standard ceiling height. Your dream home awaits at just $182,000.0."
322400,3,1.5,1432,0.21,"['central vacuum', 'programmable thermostat', 'fresh exterior paint', 'updated hardware', 'granite countertops', 'subway tile backsplash', 'garden area']","Find your perfect match in this contemporary 3-bedroom sanctuary designed for today's lifestyles. Located in a desirable exclusive enclave, the 1432 square foot home features 1.5 thoughtfully placed bathrooms. The 0.2-acre setting creates a perfect backdrop for your life story. Notable elements include programmable thermostat, granite countertops, subway tile backsplash, fresh exterior paint. Available at $322,400.0."
150000,2,1,753,0.12,"['standard electrical outlets', 'laminate countertops', 'basic HVAC system', 'linoleum flooring', 'basic smoke detectors', 'standard ceiling height']","Make a statement with this breathtaking 2-bedroom treasure in a prized riverside setting. The 753 square foot home includes 1 expertly designed bathrooms and is set on a 0.1-acre lot. Every detail has been thoughtfully considered for maximum enjoyment. Key features include standard ceiling height, basic smoke detectors, basic HVAC system. Yours for $150,000."
174300,2,1.5,922,0.12,"['small patio', 'simple kitchen layout', 'standard interior doors']","This alluring 2-bedroom sanctuary is ready to welcome you home. Nestled in a coveted quiet cul-de-sac, the 922 square foot floor plan includes 1.5 well-executed bathrooms. The 0.1-acre setting provides the perfect foundation for your lifestyle. Notable features include small patio, simple kitchen layout, standard interior doors. An exceptional value at $174,300.0."
320900,5,2.5,2114,0.2,"['granite countertops', 'decorative light fixtures', 'wainscoting', 'updated hardware', 'crown molding in main rooms']","This elegant 5-bedroom residence is the definition of refined living. Situated in a sought-after desirable subdivision, the 2114 square foot home includes 2.5 tastefully appointed bathrooms. The 0.2-acre setting provides the perfect canvas for your lifestyle vision. Special features include updated hardware, wainscoting, decorative light fixtures, granite countertops. A fantastic value at $320,900.0."
398500,5,3,2305,0.2,"['outdoor kitchen', 'high-end finishes', 'custom closet systems', 'spa-like bathrooms', 'professional landscaping', 'hot tub', 'central vacuum system', 'vaulted ceilings', 'designer windows']","Discover perfection in this inviting 5-bedroom residence where no detail has been overlooked. Set in a premium established neighborhood, the 2305 square foot floor plan includes 3 meticulously designed bathrooms. The 0.2-acre property offers both space and serenity. Stand-out features include hot tub, central vacuum system, professional landscaping. Yours for $398,500.0."
317600,3,1.5,1662,0.2,"['covered porch', 'open concept layout', 'solid-surface counters', 'hardwood floors', 'central vacuum', 'kitchen island']","A true gem has arrived! This striking 3-bedroom home represents the pinnacle of contemporary living. Strategically positioned in a up-and-coming area, the property spans 1662 square feet of pure inspiration. 1.5 bathrooms provide both luxury and practicality on a 0.2-acre canvas. Distinguished by kitchen island, central vacuum, solid-surface counters, this home transcends ordinary expectations. Incredibly priced at $317,600.0, opportunity knocks."
283200,4,2.5,1615,0.2,"['garage door opener', 'basic landscaping', 'irrigation system', 'kitchen island', 'custom paint colors', 'decent insulation', 'subway tile backsplash', 'granite countertops']","Experience life anew in this elegant 4-bedroom residence in a desirable scenic enclave. The 1615 square foot home features 2.5 tastefully appointed bathrooms and sits on a 0.2-acre lot. Every aspect has been carefully considered for maximum enjoyment. Distinctive attributes include basic landscaping, decent insulation, kitchen island, irrigation system. Available for $283,200.0."
262900,3,1.5,1392,0.2,"['open concept layout', 'granite countertops', 'custom window treatments', 'mudroom storage', 'attic storage solutions']","Introducing a home that checks every box! This exquisite 3-bedroom property is a true showstopper. Perfectly situated in a family-friendly area, the 1392 square foot home is a work of art. 1.5 stunning bathrooms grace this 0.2-acre estate. Fall in love with unique features like open concept layout, custom window treatments, mudroom storage, granite countertops, attic storage solutions. Remarkably accessible at $262,900.0."
164200,2,1,882,0.12,"['carpet in bedrooms', 'basic bathroom fixtures', 'standard roof', 'basic smoke detectors', 'simple mailbox', 'standard ceiling height']","Prepare to fall in love with this alluring 2-bedroom residence that defines elevated living. Set in a highly desired exclusive enclave, the 882 square foot home features 1 expertly designed bathrooms. The 0.1-acre property offers both privacy and potential. Special features include carpet in bedrooms, standard roof, simple mailbox, basic smoke detectors. Priced right at $164,200.0."
222400,4,2,1576,0.16,"['brick or stone accents', 'patio or deck', 'covered porch', 'functional storage', 'ceiling fans']","This exquisite 4-bedroom residence is the definition of refined living. Situated in a sought-after established neighborhood, the 1576 square foot home includes 2 tastefully appointed bathrooms. The 0.2-acre setting provides the perfect canvas for your lifestyle vision. Special features include ceiling fans, covered porch, functional storage. A fantastic value at $222,400.0."
246700,3,1.5,1530,0.12,"['dual-pane windows', 'nice appliances', 'energy-efficient windows', 'pendant lighting', 'garage storage systems', 'open concept layout', 'decent insulation']","Embrace exceptional living in this distinctive 3-bedroom sanctuary. Nestled in a premier tranquil setting, the 1530 square foot home features 1.5 carefully designed bathrooms. The 0.1-acre setting provides the perfect foundation for your lifestyle vision. Appreciable elements include dual-pane windows, pendant lighting, nice appliances. Make it yours for $246,700.0."
452600,4,2,1700,0.5,"['marble floors', 'whole-home water filtration', 'wine cellar', 'outdoor kitchen', 'custom-built shelving', 'waterfall countertops', 'security system', 'custom shower systems', 'designer windows', 'meditation garden']","This splendid 4-bedroom residence is a celebration of refined living. Set in a coveted quiet cul-de-sac, the home offers 1700 square feet of versatile space and 2 contemporary bathrooms. The 0.5-acre property delivers the perfect backdrop for your lifestyle. Premium features like waterfall countertops, outdoor kitchen, whole-home water filtration, security system, custom-built shelving create an unmatched living experience. Offered at $452,600.0."
340300,5,3,2242,0.2,"['ceiling fans', 'attic storage solutions', 'garden area', 'crown molding in main rooms', 'irrigation system']","Live the dream in this inviting 5-bedroom residence that defines modern living. Set in a desirable up-and-coming area, the home offers 2242 square feet of versatile living space with 3 well-placed bathrooms. The 0.2-acre property creates the perfect foundation for your lifestyle. You'll appreciate thoughtful elements like attic storage solutions, crown molding in main rooms, irrigation system. Available now at $340,300.0."
150000,3,2,1038,0.12,"['standard ceiling height', 'simple paint job', 'minimal landscaping', 'basic water heater', 'small patio', 'standard door hardware']","This distinctive 3-bedroom home represents the perfect blend of style and practicality. Located in a coveted quiet cul-de-sac, the 1038 square foot residence features 2 well-appointed bathrooms. The 0.1-acre grounds provide ample space for your lifestyle. Special attributes include basic water heater, standard ceiling height, simple paint job, minimal landscaping. Priced to move at $150,000."
337600,4,2,1612,0.25,"['updated hardware', 'kitchen island', 'recessed lighting', 'dual-pane windows', 'tankless water heater', 'fresh exterior paint', 'updated bathrooms', 'patio or deck']","Your story begins with this picturesque 4-bedroom home designed for modern living. Located in a coveted vibrant downtown, the 1612 square foot floor plan includes 2 well-executed bathrooms. The 0.2-acre setting strikes a perfect balance between privacy and community. Key features include dual-pane windows, recessed lighting, updated hardware. Priced at $337,600.0."
254200,3,2,1479,0.2,"['garage door opener', 'fresh exterior paint', 'garden area', 'programmable thermostat', 'subway tile backsplash', 'central vacuum', 'wainscoting']","This splendid 3-bedroom residence is the definition of refined living. Situated in a sought-after waterfront community, the 1479 square foot home includes 2 tastefully appointed bathrooms. The 0.2-acre setting provides the perfect canvas for your lifestyle vision. Special features include central vacuum, subway tile backsplash, garden area, garage door opener. A fantastic value at $254,200.0."
226200,3,1.5,1498,0.12,"['energy-efficient windows', 'upgraded trim package', 'subway tile backsplash', 'updated kitchen', 'covered porch', 'garden area', 'dual-pane windows']","Experience luxury reimagined in this stunning 3-bedroom marvel. Situated in a up-and-coming area, the 1498 square foot floor plan maximizes both style and function. Featuring 1.5 bathrooms and a sprawling 0.1-acre setting, every detail has been meticulously crafted. Standout characteristics include energy-efficient windows, covered porch, subway tile backsplash, upgraded trim package. Your lifestyle upgrade awaits at $226,200.0."
378800,4,2.5,1878,0.2,"['whole-home water filtration', 'home automation', 'coffered ceilings', 'statement lighting fixtures', 'custom front door', 'gourmet kitchen', 'wet bar', 'imported materials', 'hidden storage solutions', 'wine cellar', 'outdoor kitchen']","Find your happy place in this refined 4-bedroom sanctuary. Nestled in a premium desirable subdivision, the 1878 square foot home features 2.5 well-designed bathrooms. The 0.2-acre lot provides both privacy and potential. Special touches include imported materials, whole-home water filtration, outdoor kitchen, home automation. Offered at $378,800.0."
447900,3,2,1634,0.35,"['natural stone exterior', 'custom shower systems', 'custom lighting', 'wet bar', 'backup generator', 'heated floors', 'security system', 'hidden storage solutions', 'smart thermostats', 'professional landscaping', 'dramatic entryway']","A rare find has arrived! This picturesque 3-bedroom residence redefines home living. Commanding a prime location in a lakeside community, the 1634 square foot layout is pure inspiration. 2 carefully designed bathrooms and a 0.3-acre lot offer the ultimate in comfort and style. Be transformed by exceptional features such as professional landscaping, security system, smart thermostats, custom shower systems, wet bar. An unbelievable value at $447,900.0."
430400,4,2.5,1598,0.35,"['metal roof', 'custom front door', 'wine cellar', 'custom cabinetry', 'custom window treatments', 'hidden storage solutions', 'crown molding', 'stone countertops']","Elevate your lifestyle with this charming 4-bedroom masterpiece. Located in a sought-after quiet cul-de-sac, the 1598 square foot home features 2.5 tastefully executed bathrooms. The 0.3-acre grounds provide the perfect canvas for your vision. Exceptional elements include custom window treatments, custom front door, crown molding, hidden storage solutions, metal roof. Available for $430,400.0."
212000,3,1.5,1394,0.12,"['modern lighting', 'wainscoting', 'dual-pane windows', 'double vanity in master', 'crown molding in main rooms', 'covered porch', 'decorative light fixtures', 'patio or deck']","Find your perfect match in this pristine 3-bedroom sanctuary designed for today's lifestyles. Located in a desirable tranquil setting, the 1394 square foot home features 1.5 thoughtfully placed bathrooms. The 0.1-acre setting creates a perfect backdrop for your life story. Notable elements include covered porch, modern lighting, wainscoting, patio or deck. Available at $212,000.0."
262100,4,2.5,1634,0.26,"['attic storage solutions', 'ceiling fans', 'custom window treatments', 'decent insulation', 'garden area', 'fresh exterior paint', 'modern lighting', 'patio or deck']","This luxurious 4-bedroom home represents the pinnacle of residential living. Situated in a desirable waterfront community, the 1634 square foot residence features 2.5 well-positioned bathrooms. The 0.3-acre setting provides the perfect backdrop for your lifestyle. Notable attributes include ceiling fans, garden area, custom window treatments, attic storage solutions. A tremendous value at $262,100.0."
338600,4,2,1963,0.2,"['recessed lighting', 'garden area', 'kitchen island', 'covered porch', 'built-in bookshelves']","Envision the possibilities in this beautiful 4-bedroom home nestled in a scenic enclave. Featuring 2 tasteful bathrooms across 1963 square feet of masterfully utilized space, this property stands apart. The 0.2-acre grounds offer both privacy and potential. Notable aspects include covered porch, built-in bookshelves, garden area, recessed lighting, kitchen island. Available now at $338,600.0."
438100,3,2,1688,0.54,"['specialty rooms', 'statement lighting fixtures', 'high-end finishes', 'professional landscaping', 'energy-efficient systems', 'security system', 'electric car charging station', 'home automation']","Your search for perfection ends here! This exceptional 3-bedroom home is a cut above the rest. Nestled in a waterfront community, the 1688 square foot layout defines modern living. With 2 impeccable bathrooms spread across a 0.5-acre paradise, comfort knows no bounds. Elevate your lifestyle with extraordinary features like professional landscaping, energy-efficient systems, home automation. Priced to sell at $438,100.0."
244800,4,2.5,1554,0.14,"['updated hardware', 'decorative light fixtures', 'kitchen island', 'custom paint colors', 'modern lighting', 'linen closet', 'updated kitchen']","Behold this gorgeous 4-bedroom residence where comfort meets sophistication. Set in an enviable sought-after community, the 1554 square foot home includes 2.5 meticulously planned bathrooms. The 0.1-acre property creates the perfect backdrop for your lifestyle. Distinguishing elements include linen closet, decorative light fixtures, kitchen island. Available for $244,800.0."
275300,2,1.5,900,0.2,"['programmable thermostat', 'double vanity in master', 'central vacuum', 'garage door opener', 'custom paint colors', 'walk-in pantry']","Embrace exceptional living in this well-appointed 2-bedroom sanctuary. Nestled in a premier urban oasis, the 900 square foot home features 1.5 carefully designed bathrooms. The 0.2-acre setting provides the perfect foundation for your lifestyle vision. Appreciable elements include double vanity in master, walk-in pantry, garage door opener, programmable thermostat, central vacuum. Make it yours for $275,300.0."
